Transcript,valence,arousal,dominance,emotion,original_emotion,Audio_Uttrance_Path
Whose is it?,2.5,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M006.wav
It's ours.  It's mine too.,2.0,2.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F003.wav
Well sure.,2.5,3.0,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M007.wav
You kept saying my flashlight as if it somehow is just yours.  How's that supposed to make me feel?,2.0,3.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F004.wav
"No of course our flashlight, yours and mine, mi flashlight es su flashlight naturally.  How could we not think to bring it?",2.5,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M008.wav
I hope the moon stays out.  I wonder do they always run during a full moon.  I can't remember if it was full last year.  Remember?,3.0,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M009.wav
Yes.,3.0,2.0,1.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F005.wav
"Are you cold?  Do you want my jacket?  We should have brought the blanket, our blanket.",2.5,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M010.wav
"Ah, this is great, isn't it?  I didn't even think to bring a six-pack.  A six-pack would be just the ticket right about now.",3.0,2.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M011.wav
I can't believe I forgot.  I'm like a kid.  It's amazing I got out of the house with my fly zipped.,2.5,2.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M012.wav
"Oh, I wonder if they can hear me talk or feel the vibrations in the sand when we move around?",3.5,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M013.wav
I'm cold.,2.0,2.5,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F006.wav
Do you want my jacket?,3.0,2.5,2.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M014.wav
It's after eleven let's go home.,2.0,3.0,2.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F007.wav
Are you kidding?  We'd miss it.  We just got here.  What's the point of coming down here if we just turn around and go home?,2.5,3.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M015.wav
There is no point in coming down here.,2.0,3.0,3.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F008.wav
Right.,2.0,3.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M016.wav
That's my point.,2.5,2.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F009.wav
That's my point too.,2.5,2.5,2.5,Neutral,Neutral state,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M017.wav
So let's go home.,2.0,3.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F010.wav
"No, no, no.  That's not my point.  My point is is that there's no point in coming down here if we just leave.  Don't you want to see it?",2.0,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M018.wav
Not particularly.,2.5,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F011.wav
Why not?,2.0,3.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M019.wav
I just don't.  It's stupid.,2.0,3.5,3.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F012.wav
Honey this is natural phenomenon.  I mean this only happens once a year.  This is a great opportunity.,2.5,4.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M020.wav
Think about the people in Kansas.  They'd have to get plane tickets and hotel reservations to come see this.  We're just forty minutes away.  It's too good to pass up.,2.0,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M021.wav
"Pass up what?  These little fish swim onto the beach, flop around, and then swim away and then they die.",1.5,4.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F013.wav
"Yeah but that moment on the beach is the highlight of their little lives.  All that flopping around is laying eggs or what do you, spawning or mating something like that.",2.5,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M022.wav
This is the big night for these guys.  Life's last orgy.,3.0,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M023.wav
What are you so excited about?  This isn't a moon landing we're talking about.  It's fish.  It's fish nobody even eats.,2.0,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F014.wav
"Yeah, they do.",2.5,2.5,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M024.wav
"Oh, Augie.",2.0,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F015.wav
Okay but it's fish who do something none of the other fish do,3.0,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M025.wav
"like the swallows returning to Capistrano or the lemmings throwing themselves off the cliffs, like that.  There's mystery here and magic",2.5,3.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M026.wav
a little bit of the unexplainable.  I don't see how you cannot be interested.,3.0,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M027.wav
I'm just not.,2.0,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F016.wav
For real?,2.5,3.5,3.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M028.wav
Yes.,2.0,2.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F017.wav
I don't get it.  The first time we came here to see it you said it was the best night of your life and last year I remember distinctly you were so excited to get here.  You stubbed your toe rushing me out the door and didn't even notice until we were in the car.,2.0,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M029.wav
Last year you will also remember our shoes got wet.  I got sand in my panties.  We got in a big fight over nothing.  You got a sore throat and we did not see the Grunions.,2.0,4.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F018.wav
We weren't in a good spot.,3.0,2.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M030.wav
We didn't see them the first time either.,2.0,3.0,3.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F019.wav
We just weren't in a good spot.  This is a much better spot.,2.0,3.0,4.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M031.wav
"I've got good instincts for these things.  Look there. What's that.  Is that?  Is that, is that-no it's just seaweed isn't it.",2.5,3.5,3.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M032.wav
"Ah, man this is great.  I wouldn't miss this for anything.  I mean think about this.  I know you're not interested but just think about this for a minute.",3.0,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M033.wav
Out there someplace there's this huge mass of silver fish heading this way.  They don't know why.  We don't know why.  It wasn't a decision.  They didn't take a vote.,3.5,3.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M034.wav
No one sent them a map or an invitation.  Just some little instinctual time release firecracker went off in their little bodies and all as one. They turned and formed a line as long as the California coast and started swimming.,3.0,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M035.wav
They're swimming right now as if that's the only thing that matters.,3.0,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M036.wav
It's single mindedness with no mind.  Urgency that's pure urge.,2.5,4.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M037.wav
They don't know what drives them.  They don't give it a name or ask question.  They just turn as one and start the swim that brings them here to this place,3.0,3.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M038.wav
where we stand for massive celebration of sex and death.,4.0,3.0,3.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M039.wav
"Ah, I'm giving myself goose bumps.  All my hairs are popping up.",4.0,3.5,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M040.wav
That's the wind.,3.0,2.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F020.wav
Well so what do you think?,3.5,2.5,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M041.wav
About what?,2.5,2.0,2.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F021.wav
What I said.,2.5,3.0,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_M042.wav
It's ridiculous.,2.0,3.5,3.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script02_1/Ses04F_script02_1_F022.wav
"What time is it?  They're supposed to run around midnight.  This is great, isn't it?  Look at this night we've got here; couldn't be better.",4.0,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M000.wav
"Actually, I wanted to go a little farther up the coast, get away from the lights and the people, but I was afraid we'd miss it.  How you doing?",3.5,2.5,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M001.wav
Fine.,2.5,1.5,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F000.wav
"Is that, is that - is that just foam?  I can't even tell.  Although, if you can't tell, it's probably isn't them.  It'll probably be unmistakable, don't you think?",4.0,4.0,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M002.wav
"How you doing?  Oh, no, you know what I did?  I forgot to bring my flashlight.  How could I be so stupid?  I should have brought my flashlight.",3.0,3.0,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M003.wav
What flashlight?,2.5,2.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F001.wav
"The flashlight; the silver one.  There's only one, isn't there?",2.5,3.0,3.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M004.wav
It's not yours.,2.0,2.5,3.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F002.wav
Whose is it?,2.5,2.0,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M005.wav
"It's ours.  It's mine, too.",2.0,3.5,3.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F003.wav
"Well, sure.",2.5,2.5,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M006.wav
You kept saying my flashlight as if it's somehow just yours.  How is that supposed to make me feel?,2.0,4.0,3.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F004.wav
"No, of course, our flashlight; yours and mine.  Me flashlight es su flashlight, naturally.  How could we not think to bring it?  I hope the moon stays out.",2.5,3.5,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M007.wav
"I wonder, do they always run during a full moon? I can't remember if it was full last year.  Remember?",3.5,2.5,2.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M008.wav
Yes.,2.5,2.5,3.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F005.wav
"Are you cold?  Do you want my jacket?  We should have brought the blanket, our blanket.",3.0,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M009.wav
"Oh, man.  This is great.  I didn't even think to bring a six pack.  Six pack would be just the ticket right about now.  I can't believe I forgot.  I'm like a kid.  It's amazing I got out of the house with my fly zipped.  Oh.",4.0,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M010.wav
I wonder if they can hear me talk or feel the vibrations in the sand when we move around.,3.5,2.5,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M011.wav
I'm cold.,2.5,1.5,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F006.wav
You want my jacket?,3.0,2.5,2.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M012.wav
It's after eleven; let's go home.,2.0,3.0,2.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F007.wav
Are you kidding?  We'd miss it.  We just got here.  What's the point of coming down here if we just turn around and go home?,2.0,3.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M013.wav
There is no point in coming down here.,2.5,3.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F008.wav
Right.,3.0,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M014.wav
That's my point.,2.5,2.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F009.wav
"That's my point, too.",2.5,2.5,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M015.wav
So let's go home.,2.5,2.5,2.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F010.wav
"No, no, no.  That's not my point.  My point is is that there's no point in coming down here if we just leave.  Don't you want to see it?",2.5,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M016.wav
Not particularly.,2.0,3.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F011.wav
Why not?,2.5,2.0,1.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M017.wav
I just don't.  It's stupid.,2.0,3.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F012.wav
"Honey, this is a natural phenomenon.  I mean, this only happens once a year.  It's a great opportunity.  Think about the people in Kansas.  They'd have to get plane tickets and hotel reservations to come see this.  We're just forty minutes away.  It's too good to pass up.",2.5,3.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M018.wav
"Pass up what?  These little fish swim onto the beach, flop around and then they swim away.  And then they die.",2.0,4.0,3.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F013.wav
"Yeah, but that moment on the beach is the highlight of their little lives.  I mean, all that flopping around is laying eggs or what do you -- spawning or mating, something like that.",3.0,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M019.wav
There's mystery here and magic.,3.0,2.5,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M020.wav
What are you so excited about?,2.0,3.0,3.0,Neutral,Neutral state,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F014.wav
"Oh, it's a big night for these guys.  Uh, life's last orgy.",3.5,2.5,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M021.wav
This isn't a moon landing we're talking about.  It's fish.  It's fish nobody even eats.,2.0,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F015.wav
"Yeah, they do. Okay.  But it's fish who do something none of the other fish do; like the swallows are returning to Capistrano; or the lemmings throwing themselves off the cliffs, like that.",3.0,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M022.wav
There's mystery here and magic; a little bit of the unexplainable.  I don't see how you can not be interested.,2.5,3.0,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M023.wav
I'm just not.,2.5,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F016.wav
For real?,2.5,3.0,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M024.wav
Yes.,2.5,3.5,3.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F017.wav
"I don't get it.  First time we came here to see it, you said it was the best night of your life.  And last year, I remember distinctly you were so excited to get here, you stubbed your toe rushing me out the door and didn't even notice until we were in the car.",3.0,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M025.wav
"Last year, you will also remember, our shoes got wet.  I got sand in my panties.  We got into a big fight over nothing.  You got a sore throat and we did not see the grunions.",2.5,3.5,3.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F018.wav
We weren't in a good spot.,2.5,2.0,3.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M026.wav
We didn't see them the first time either.,2.0,3.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F019.wav
We just weren't in a good spot.  This is a much better spot.  I've got good instincts for these things.  Look there.  What's that?  Is that -,2.0,3.5,3.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M027.wav
"no, it's just seaweed, isn't it?  Oh, man, this is great.  I wouldn't miss this for anything.  I mean, think about this.  I know you're not interested, but just think about this for a minute.",3.5,3.0,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M028.wav
Out there someplace is this huge mass of silver fish heading this way.  They don't know why.  We don't know why.  It wasn't a decision.  They didn't take a vote.  No one sent them an invitation or a map;,3.0,3.0,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M029.wav
"just some little instinctual time release firecracker went off in their little bodies and all as one, they turned and formed a line as long as the California coast and started swimming.",3.0,3.0,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M030.wav
They're swimming right now as if that's the only thing that matters.  It's single mindedness with no mind.  Urgency that's pure urge.,3.5,3.5,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M031.wav
"They don't know what drives them.  They don't give it a name or ask a question.  They just turn, as one, and start the swim that brings them here; to this place, where we stand, for a massive celebration of sex and death.  Oh, man, I'm giving myself goose bumps.  All my hairs are popping up.",3.5,4.0,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M032.wav
That's the wind.,2.5,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F020.wav
Well so what did you think?,3.0,2.5,1.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_M033.wav
About what?,2.0,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_script02_1/Ses04M_script02_1_F021.wav
Hello.  Thank you for calling Dell Taco Corporate.  Can I help you?,4.0,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_impro08/Ses04F_impro08_F000.wav
"Yeah, um.  I have been trying to reach somebody who will refund, uh, my money.",2.5,2.5,3.0,Sad,Other bored,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_impro08/Ses04F_impro08_M000.wav
"Um, I basically, um I- I ordered some food",2.5,2.0,3.0,Sad,Other bored,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_impro08/Ses04F_impro08_M001.wav
um and everything was pretty much uh- uh- just not done right. All the orders were messed up.,2.5,2.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_impro08/Ses04F_impro08_M002.wav
"Okay.  Well, Did you go through the automated menu?  Most of your requests can be taken care of through that.",4.0,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_impro08/Ses04F_impro08_F001.wav
"Yes, I did and that didn't- I got through to, like, one operator and she sent me to like three others",2.5,2.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_impro08/Ses04F_impro08_M003.wav
and now I'm talking to you.  And all I want is my money back.  That's all I'm asking for. It's not much.,2.5,3.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_impro08/Ses04F_impro08_M004.wav
Okay.  Well I'd be happy to-,3.0,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_impro08/Ses04F_impro08_F002.wav
